Run ,Time(min),Drug_con(Mg),Rpm,pH,Temperature,perc of Drug Release
1,30,30,250,2,30,91.01
2,30,30,500,7,60,89
3,30,30,750,12,90,93.79
4,30,90,250,7,90,87.03
5,30,90,500,12,30,87.96
6,30,90,750,2,60,84.62
7,30,150,250,12,60,90.74
8,30,150,500,2,90,86.85
9,30,150,750,7,30,93.79
10,120,30,250,7,90,93.51
11,120,30,500,12,30,91.85
12,120,30,750,2,60,90.09
13,120,90,250,12,30,84.72
14,120,90,500,2,60,85.92
15,120,90,750,7,90,84.9
16,120,150,250,2,90,92.94
17,120,150,500,7,30,95.37
18,120,150,750,12,60,88.79
19,210,30,250,12,60,86.38
20,210,30,500,2,90,83.88
21,210,30,750,7,30,89.81
22,210,90,250,2,60,87.4
23,210,90,500,7,90,91.11
24,210,90,750,12,30,87.12
25,210,150,250,7,30,93.05
26,210,150,500,12,60,87.12
27,210,150,750,2,90,86.48
